Input	ID_Name_1	label	ID_CAS_Nr_1	ID_EG_Nr	ID_EG_Annex_Nr	Boiling_Point_Minimum_°C	Melting_Point_Minimum_°C	Vapour_Pressure_25°C_mmHg	Flash_Point_Minimum_°C	Autoignition_Temperature_Minimum_°C	Hansen_Delta_D_MPa1/2	Hansen_Delta_P_MPa1/2	Hansen_Delta_H_MPa1/2	Solubility_Water_g/L	Dielectric_Constant_20°C	Density_25°C_Minimum_kg/L	Viscosity_25°C_Minimum_mPa.s
PARIS III	ethanol	3	64-17-5	200-578-6	NAV	78.2	-114.1	59.3298791253	8.89	365	15.8	8.8	19.4	-1	25.16	0.78	1.07
PARIS III	propan-2-ol	3	67-63-0	NAV	NAV	82.3	-89.5	45.3787318215	11.67	425	15.8	6.1	16.4	-1	18.3	0.79	2.04
PARIS III	propan-1-ol	3	71-23-8	200-746-9	NAV	97.2	-126.1	21.001727124	15	405	16	6.8	17.4	-1	21.8	0.8	1.96
Caldic	n-Butyl Acetate	4	123-86-4	NAV	NAV	126.4	-78	11.498	26.5	421.11	15.8	3.7	6.3	11.4	5.01	0.876	0.6
Caldic	n-Butyl Propionate	4	590-01-2 	NAV	NAV	146.4	-90	3.44	38.5	426.11	15.7	5.5	5.9	5.72	4.838	0.871	0.78
Caldic	n-Propyl Propionate	4	106-36-5 	NAV	NAV	122.8	-76	14.263	22.5	434.9	15.5	5.6	5.7	6	5.249	0.876	0.64
PARIS III	dipropylether	5	111-43-3	203-869-6	NAV	90	-122	62.56	-20	215	15.1	3.2	3.2	3	3.38	0.74	0.4
PARIS III	Diethyl ether	5	60-29-7	200-467-2	NAV	34.6	-116.3	537.04	-45	160	14.5	2.9	4.6	69	4.197	0.73	0.22
DNCP	Diisopropyl ether	5	108-20-3	204-881-4	NAV	68	-86.8	149.26	-29	405	15.1	3.2	3.2	9	3.9	0.7192	0.38
PARIS III	2-methylpropan-1-amine	6	78-81-9	201-145-4	NAV	68.5	-85	138.01	-9	400	14.9	4.7	7.2	1000	4.4	0.72	0.56
PARIS III	Butylamine, tert-	6	75-64-9	200-888-1	NAV	45	-72.65	37.28	-8	379	14.5	4.6	8.1	1000	5.4	0.7	0.67
PARIS III	2-methylbutan-1-amine	6	96-15-1	202-483-5	NAV	92.39	-105.09	35.70	3.3	400	15.1	3.2	3.2	1000	4.5	0.74	0.68
PARIS III	5-methylheptan-3-one	2	541-85-5	NAV	NAV	159	-56.39	1.94	43.9	411	15.7	4.5	4	3	11.9	0.81	0.79
PARIS III	ethyl isopropyl ketone	2	565-69-5	NAV	NAV	113.5	-82.16	18.08	10.8	450	16	7.6	4.7	17	8.2	0.8	0.45
Chemtec Solvent Database	Diisopropyl ketone	2	565-80-0	209-294-6	NAV	124	-69	13.43	22.1	478	15.7	5.7	4.3	5.7	17.1	0.805	0.626
Mixed	styrene	1	100-42-5	202-851-5	NAV	145	-31	6.40	31.1	490	18.6	1	4.1	0.32	2.4	0.9	0.7
Mixed	benzyl alcohol	1	100-51-6	202-859-9	NAV	205.3	-15.2	0.09	97.5	435	18.4	6.3	13.7	40	13	1.05	5.13
Mixed	o-xylene	1	95-47-6	202-422-2	NAV	144.5	-25.2	6.61	28.88	465	17.8	1	3.1	0.2	2.568	0.87	0.76
Mixed	benzaldehyde	1	100-52-7	202-860-4	NAV	179	-26	1.2676042443	62.8	190	19.4	7.4	5.3	6.95	17.8	1.05	1.32
Mixed	n-pentane	0	109-66-0	203-692-4	NAV	36	-129.7	51.3792252855	-49.4	260	14.5	0	0	0.041	1.8	0.63	0.22
Mixed	cyclohexane	0	110-82-7	203-806-2	601-017-00-1	81	6.5	9.6757957107	-18	260	16.8	0	0.2	0.052	2	0.7739	0.894
Mixed	hexanol, 1-	7	111-27-3	203-852-3	NAV	157.6	-44.6	0.9300764869	60	292	15.9	5.8	12.5	6	13.3	0.82	4.59
Mixed	cyclohexanol	7	108-93-0	203-630-6	603-009-00-3	161	23	1	67	300	17.4	4.1	13.5	42	15	0.9684	57.5
Mixed	3-methylbutanol	3	123-51-3	204-633-5	NAV	131.1	-117.2	2.3701949183	45.6	365	15.8	5.2	13.3	25	15.63	0.81	3.93
Mixed	2-methylbutanol	3	137-32-6	205-289-9	NAV	128	-94.52	3.1202566013	43	340	16	5.1	14.3	30	15.63	0.82	4.3
Mixed	methanol	3	67-56-1	200-659-6	NAV	64.7	-98	126.760424427	12	455	14.7	12.3	22.3	-1	32.66	0.75	0.544
Mixed	1-butanol	3	71-36-3	200-751-6	603-004-00-6	117.6	-89	6.6980508292	35	340	16	5.7	15.8	80	17.8	0.81	2.544
Mixed	isobutanol	3	78-83-1	201-148-0	NAV	107.8	-108	10.500863562	27.78	430	15.1	5.7	15.9	95	17.93	0.8	3.37
Mixed	4-Methyl-2-pentanol	7	108-11-2	203-551-7	NAV	131.6	-90	5.3029360988	41.1	305	15.4	3.3	12.3	20	10.4	0.81	4.07
Mixed	1-Nonanol	7	143-08-8	205-583-7	NAV	213.3	-5	0.022726869	97.78	260	15.3	7.3	12	1	8.83	0.83	9.12
Mixed	cyclohexanone	2	108-94-1	203-631-1	NAV	155.4	-31	4.3278559109	44	420	17.8	8.4	5.1	96	18.2	0.95	2.02
Mixed	cyclopentanone	2	120-92-3	204-435-9	NAV	130.5	-51.3	11.4009375816	30.56	430	17.9	11.9	5.2	87	13.58	0.99	1.29
Mixed	diacetone alcohol	2	123-42-2	204-626-7	NAV	167.9	-44	1.7101406372	58	643	15.8	8.2	10.8	1000	18.2	0.95	2.38
Mixed	acetone	2	67-64-1	200-662-2	606-001-00-8	56	-95	231.018998364	-20	465	15.5	10.4	7	-1	20.56	0.7845	0.306
Mixed	Isobutyraldehyde	2	78-84-2	201-149-6	NAV	64.5	-65.9	173.001727184	-24	190	15.7	10.7	6.1	75	13.4	0.79	0.41
Mixed	dimethylftalaat	8	131-11-3	205-011-6	NAV	283.7	5.5	0.0030827535	150	470	18.6	10.8	4.9	4.3	8.5	1.19	14.36
Mixed	n-propylacetaat	4	109-60-4	203-686-1	NAV	101.5	-93	35.9279546157	12.8	450	15.3	4.3	7.6	33	6	0.89	0.54
Mixed	isopropylacetaat	4	108-21-4	203-561-1	NAV	88.6	-73.4	60.3799654815	2	460	14.9	4.5	8.2	31	6.002	0.89	0.56
Mixed	dioctyladipate	8	103-23-1	203-090-1	NAV	417	-67.8	0.000006443	168.9	350	16.7	2	5.1	0.00078	4.8	0.93	11.76
Mixed	dimethylsuccinaat	8	106-65-0	203-419-9	NAV	196.4	19	0.4102837406	88.4	365	16.1	7.7	8.8	8.5	7.19	1.09	1.51
Mixed	ethyleen glycol diacetaat	12	111-55-7	203-881-1	NAV	190	-41	0.0772563533	82	481	16.2	4.7	9.8	160	7.7	1.13	1.49
Mixed	methoxypropylacetaat	12	108-65-6	203-603-9	607-195-00-7	145.5	-67	3.9228226021	47.9	333	15.6	5.6	9.8	198	7.6	0.96	1.01
Mixed	diethylsuccinaat	8	123-25-1	204-612-0	NAV	217.7	-21	0.0438786085	99.5	365	16.1	7.7	8.8	1.9	6.098	1.04	1.05
Mixed	dibutylsuccinaat	8	141-03-7	205-449-8	NAV	274.5	-29.2	0.0155262768	144	365	16.1	7.7	8.8	0.23	6.098	0.98	4
Mixed	ethylacetaat	4	141-78-6	205-500-4	607-022-00-5	75	-83.5	9.3007648692	-4	427	15.8	5.3	7.2	80	6.02	0.895	0.423
Mixed	diethylftalaat	8	84-66-2	NAV	NAV	295	-0.3	0.0021001727	117	457	17.6	9.6	4.5	1	7.86	1.12	10.6
Mixed	2-Butoxyethyl acetate	12	112-07-2	203-933-3	NAV	192	-63	0.3697804097	76.1	340	15.3	7.5	6.8	11	7.6	0.94	1.08
Mixed	tetrahydrofuran	5	109-99-9	203-726-8	603-025-00-0	66	-108.4	162.013323528	-14	321	16.8	5.7	8	-1	7.58	0.8833	0.456
Mixed	dipropyleneglycol dimethyl ether	13	111109-77-4	NAV	NAV	175	-80	0.55	65	165	15.7	7.3	5.5	350	9.4	0.902	1
Mixed	1-methoxy-2-propanol	11	107-98-2	216-455-5	603-064-00-3	118	-97	12.5260301061	33	286	15.6	6.3	11.6	-1	12	0.91	3.99
Mixed	1-ethoxy-2-propanol	11	1569-02-4	216-374-5	603-177-00-8	132	-100	3.98	42	255	15.7	6.5	10.5	366	10.4	0.896	2.08
Mixed	methoxydipropanol (dpm)	13	34590-94-8	NAV	NAV	189.6	-83	0.4125339257	79	205	15.9	6.3	11.9	-1	10.5	0.951	3.71
Mixed	dimethylethanolamine 	9	108-01-0	NAV	NAV	134	-59	3.18E+00	40.6	295	16.1	9.2	14	-1	17.18	0.9	3.69
Mixed	dibutylamine	6	111-92-2	203-921-8	NAV	159.6	-62	2.59E+00	41.1	260	15	3	4.3	4.05	5.4	0.76	0.92
Mixed	monoethanolamine 	9	141-43-5	205-483-3	NAV	171	10.5	4.00E-01	85	410	17	15.5	21	1000	37.72	0.97	19.36
Mixed	dimethylacetamide	10	127-19-5	204-826-4	NAV	165	-20	2.00E+00	66	490	16.8	11.5	9.4	-1	37.78	0.9372	1.927
Mixed	triethanolamine 99%	9	102-71-6	203-049-8	NAV	335.4	20.5	3.59E-06	185	325	17.3	7.6	21	-1	29.36	1.17	613.76
Mixed	pyridine	6	110-86-1	203-809-9	NAV	115.2	-41.6	20.7767086191	17	482	19	8.8	5.9	-1	12.5	0.98	0.89
Mixed	morpholine	6	110-91-8	203-815-1	NAV	128	-4.9	1.01E+01	35.6	310	18.8	4.9	11	-1	7.176	0.93	2
Mixed	dimethylformamide	10	68-12-2	200-679-5	616-001-00-x	153	-61	3.87E+00	58	445	17.4	13.7	11.3	1000	36.7	0.9445	0.794
Mixed	N-methyl pyrrolidone	6	872-50-4	212-828-1	606-021-00-7	202	-24	3.50E-01	91	269	18	12.3	7.2	-1	32.2	1.023	1.666
